SEX,AGE,YEAR,CREDITS,MAJOR,STUDENT,TEXTBOOKS,SLEEP,STUDY,WEEKSTUDY,PARENTS,SUPER,BLUEARCH,WRECKINGBALL,TUITION,CROSSING,HEADPHONES,HALLWAY,EYECONTACT,BUS,WALKING,COMMUNICATION
F,20,J,17,3,In,500,5,4,28,Mo,Y,Y,N,11520,Y,Y,Y,S,N,R,Mo
F,19,F,16,0,In,500,5,2,14,O,N,N,N,5000,N,Y,Y,N,N,I,D
F,20,J,15,2,In,500,5,8,56,M,Y,Y,N,20000,Y,N,N,N,Y,R,D
F,20,S,15,1,In,500,5,6,42,M,Y,N,Y,12000,D,S,Y,Y,N,R,D
F,20,J,15,3,O,500,5,2,14,N,Y,Y,W,6000,D,Y,Y,N,Y,M,N
M,20,J,13,0,In,464,5,5,35,W,N,N,N,14000,Y,S,N,S,Y,R,W
M,19,S,16,0,In,450,5,10,70,M,N,N,N,16000,N,Y,Y,N,N,R,D
F,19,So,15,1,In,450,5,6,42,O,N,N,N,5000,Y,S,N,S,Y,R,D
F,21,S,15,3,O,450,5,5,35,M,N,Y,N,24000,D,Y,Y,N,Y,R,D
F,21,J,15,2,In,450,5,1,7,O,Y,N,N,5000,N,Y,Y,N,N,R,D
F,21,J,14,1,In,450,5,3,21,W,Y,Y,W,11000,Y,S,N,S,N,L,W
F,18,F,14,0,In,450,5,2,14,Mo,N,N,N,12000,Y,Y,Y,Y,N,R,Mo
F,18,F,14,0,In,450,5,2,14,Mo,N,N,N,12000,Y,Y,Y,Y,N,R,Mo
M,20,J,14,0,In,450,5,2,14,W,N,I,Y,6000,D,Y,Y,N,Y,I,W
F,20,J,15,2,In,420,5,3,21,W,Y,Y,N,10000,Y,S,N,S,Y,R,W
M,20,J,15,3,In,410,5,5,35,W,Y,Y,N,14500,N,S,N,N,Y,R,W
M,18,F,15,0,In,410,5,3,21,W,N,N,N,7500,Y,Y,N,Y,Y,M,W
F,21,J,16,0,O,400,5,4,28,W,N,Y,W,16000,Y,N,N,O,Y,L,W
M,21,S,16,1,In,400,5,2,14,M,N,N,N,5000,Y,S,N,S,Y,R,D
F,18,S,15,0,In,400,5,3,21,O,N,Y,N, ,N,N,N,N,N,R,D
M,20,S,15,0,I,400,5,3,21,W,Y,Y,N,11000,N,N,Y,O,Y,R,W
F,22,S,15,3,In,400,5,3,21,M,Y,Y,Y, ,N,S,Y,N,Y,R,D
F,20,S,15,3,In,400,5,2,14,O,N,Y,N,12000,Y,S,N,S,Y,R,D
F,18,F,14,0,In,400,5,2,14,M,Y,Y,N,25000,Y,Y,Y,Y,N,R,D
F,20,So,13,0,In,400,5,3,21,O,N,I,N,13000,Y,Y,N,S,N,I,D
F,19,S,13,0,In,400,5,2,14,O,Y,Y,N,10000,Y,Y,N,S,Y,R,D
M,21,S,13,1,In,400,5,1,7,M,N,Y,N,8000,Y,N,N,N,Y,R,D
F,22,S,12,1,In,400,5,3,21,M,N,N,N,6000,Y,Y,Y,N,N,R,D
M,21,J,10,0,In,400,5,1,7,O,N,N,Y, ,N,S,Y,N,Y,R,D
F,21,S,12,0,In,390,5,2,14,W,Y,N,N,1700,Y,Y,N,S,Y,R,W
F,19,S,15,1,In,386,5,9,63,M,N,N,N,22000,Y,Y,N,S,Y,R,D
F,19,So,15,1,In,375,5,4,28,W,Y,Y,N,11000,Y,Y,N,S,Y,R,W
F,19,So,15,1,In,375,5,4,28,W,Y,Y,N,11000,Y,Y,N,S,Y,R,W
F,18,F,15,0,In,360,5,3,21,W,Y,Y,N,23000,D,Y,N,N,Y,R,W
F,19,S,20,3,In,350,5,3,21,O,Y,Y,N, ,N,S,N,S,Y,I,D
F,21,J,18,2,In,350,5,7,49,W,Y,N,N,5500,Y,Y,N,S,N,R,W
M,20,So,17,1,In,350,5,4,28,W,N,N,Y,11000,Y,Y,Y,N,Y,I,W
M,20,So,17,1,In,350,5,4,28,W,N,N,Y,11000,Y,Y,Y,N,Y,I,W
F,20,J,15,0,In,350,5,7,49,W,N,Y,N,18000,D,Y,Y,S,Y,M,W
F,18,F,15,0,In,350,5,4,28,Mo,Y,Y,N,1000,N,Y,N,S,Y,I,Mo
M,18,F,15,0,In,350,5,4,28,W,N,N,N,15000,Y,Y,N,S,N,I,W
M,20,S,15,3,In,350,5,4,28,M,Y,Y,N,18000,Y,Y,Y,S,Y,R,D
M,20,J,15,2,In,350,5,2,14,M,Y,Y,N,12000,N,Y,Y,S,Y,R,D
M,19,F,15,1,In,350,5,1,7,W,N,N,N,7500,N,S,N,O,N,M,W
M,22,J,14,2,In,350,5,5,35,W,Y,N,N,7000,N,Y,Y,N,Y,L,W
F,21,J,14,1,In,350,5,2,14,O,Y,Y,N,19000,Y,N,N,S,N,R,D
F,21,J,12,0,In,350,5,1,7,W,N,Y,N,10000,D,S,N,S,Y,I,W
F,22,S,15,1,O,330,5,2,14,W,N,N,N,12000,D,S,N,S,Y,R,W
M,20,So,15,0,In,325,5,2,14,Mo,Y,N,N,11000,N,Y,N,N,Y,R,Mo
M,20,So,15,0,In,325,5,2,14,Mo,Y,N,N,11000,N,Y,N,N,Y,R,Mo
M,21,J,15,0,In,305,5,4,28,O,Y,Y,N,15000,N,Y,N,Y,Y,R,D
M,19,S,16,0,O,300,5,3,21,O,N,N,N,23000,N,N,N,Y,N,L,D
M,21,S,15,0,In,300,5,13,91,M,N,N,N,25000,Y,Y,Y,S,Y,R,D
F,18,F,15,0,In,300,5,6,42,W,Y,Y,N,5000,N,S,N,S,Y,R,W
F,18,F,15,0,O,300,5,6,42,M,Y,I,N,20000,Y,Y,Y,Y,N,R,D
M,20,S,15,3,In,300,5,6,42,W,Y,N,Y,18000,Y,Y,Y,Y,Y,M,W
F,19,S,15,0,In,300,5,5,35,W,N,Y,W,25000,Y,Y,N,Y,Y,R,W
F,19,S,15,0,In,300,5,5,35,W,N,Y,W,25000,Y,Y,N,Y,Y,R,W
M,20,J,15,0,In,300,5,4,28,W,Y,Y,N,14100,Y,S,N,S,Y,I,W
M,20,J,15,0,O,300,5,3,21,W,N,N,N, ,Y,Y,N,N,N,M,W
F,20,S,15,1,In,300,5,3,21,W,N,Y,Y,22000,Y,S,N,S,N,R,W
F,22,S,15,0,In,300,5,3,21,M,N,N,N,6000,Y,Y,Y,N,Y,R,D
