SEX,AGE,YEAR,CREDITS,MAJOR,STUDENT,TEXTBOOKS,SLEEP,STUDY,WEEKSTUDY,PARENTS,SUPER,BLUEARCH,WRECKINGBALL,TUITION,CROSSING,HEADPHONES,HALLWAY,EYECONTACT,BUS,WALKING,COMMUNICATION
M,18,F,10,0,In,120,4,3,21,W,N,I,W,7600,N,S,N,N,N,I,W
M,21,F,11,3,O,115,4,4,28,M,N,Y,N,5000,N,Y,N,Y,Y,L,D
M,22,J,12,1,In,110,4,3,21,M,Y,Y,N,6800,Y,Y,Y,S,N,R,D
F,21,S,15,0,In,100,4,2,14,W,Y,Y,Y,5000,Y,S,Y,N,Y,R,W
M,19,S,14,1,In,100,4,1,7,M,N,Y,N,10000,D,Y,N,N,Y,R,D
M,22,J,13,1,In,80,4,2,14,W,Y,Y,Y,20000,D,N,N,O,N,I,W
F,22,S,15,0,In,50,4,4,28,M,N,N,N,8000,N,N,N,Y,N,R,D
F,21,J,14,2,In,40,4,3,21,O,Y,Y,N,12500,Y,Y,N,N,Y,R,D
M,21,J,8,0,In,8,4,0,0,W,N,I,W,8600,D,S,N,S,N,L,W
F,20,J,15,1,In,0,4,0,0,W,Y,Y,Y,6000,Y,Y,Y,S,Y,R,W
M,18,F,6,0,In,0,4,0,0,N,N,N,N,2000,N,N,N,N,Y,L,N
M,20,J,16,0,O, ,4,8,56,W,Y,Y,N, ,D,Y,Y,O,Y,R,W
F,24,S,9,2,O,500,4,2,14,M,Y,Y,N,19000,N,N,N,N,Y,L,D
F,20,J,15,1,In,10,4,2,14,O,Y,Y,N,6000,Y,Y,N,S,Y,L,D
M,18,F,16,9,In,800,3,5,35,O,Y,Y,N,46000,Y,Y,N,Y,Y,I,D
F,23,J,18,1,In,700,3,1,7,O,N,I,N,10000,N,Y,Y,S,Y,R,D
M,20,F,13,0,In,400,3,6,42,M,Y,I,W, ,Y,S,Y,S,Y,R,D
M,19,S,15,0,In,270,3,4,28,W,N,N,N,5000,Y,N,Y,N,Y,R,W
F,20,J,15,3,In,220,3,4,28,W,N,N,N,4000,Y,Y,N,N,N,I,W
M,18,F,15,9,In,208,3,5,35,Mo,N,N,Y,6500,D,S,N,N,Y,R,Mo
M,20,S,15,1,In,200,3,4,28,W,N,N,N,11500,Y,N,Y,N,N,R,W
M,30,G,5,0,In,50,3,0,0,N,Y,Y,N,1000,Y,N,N,N,N,M,N
F,18,S,16,0,I, ,3, , ,W,N,N,W, ,.,N,N,N,Y,R,W
F,20,J,17,0,In,780,2,4,28,W,N,Y,N,21000,Y,N,N,N,.,R,W
F,22,S,14,3,In,400,2,5,35,W,Y,N,N,8000,N,N,Y,O,Y,I,W
F,20,S,15,0,In,0,2,5,35,W,N,Y,N, ,Y,Y,N,N,Y,M,W
F,20,J,20,3,O,350, ,6,42,W,Y,Y,N,6000,Y,Y,Y,Y,Y,R,W
M,18,F, ,0,In, , , , ,O,N,N,Y, ,D,S,Y,S,Y,M,D
F,19,J, ,1,In, , , , ,M,N,N,N, ,N,Y,Y,N,Y,L,D
M,19,S, ,0,In, , , , ,M,Y,Y,N, ,N,Y,N,N,N,R,D
F,20,S, ,1,In, , , , ,O,Y,Y,N, ,D,Y,Y,Y,Y,R,D
M,20,S, ,0,In, , , , ,O,Y,Y,N, ,N,Y,N,Y,Y,R,D
F,20,S, ,1,In, , , , ,O,Y,Y,N, ,N,N,N,Y,N,R,D
M,20,J, ,2,O, , , , ,W,Y,Y,N, ,N,N,N,Y,N,R,W
F,21,J, ,2,In, , , , ,W,Y,Y,N, ,N,S,Y,S,N,M,W
M,21,S, ,0,In, , , , ,O,Y,Y,N, ,N,Y,Y,N,Y,R,D
M,21,J, ,2,O, , , , ,M,Y,Y,N, ,N,S,N,S,Y,R,D
